Categoria,Critério,Descrição detalhada,Exemplos positivos,Exemplos negativos,Peso (em pontos)
Título da mídia,Clareza e pertinência,"Título coerente com o conteúdo, atrativo e adequado ao público-alvo.","Título provocativo e claro, como 'Você sabia que as plantas se comunicam?'","Título genérico ou vago, como 'Trabalho final'.",0.5
Escolha do conteúdo,Justificativa da escolha,"Explica a motivação da escolha do dado ou informação, com base em relevância científica ou social.",Escolhi esse dado porque ele desmente um mito comum sobre vacinas.,Escolhi esse dado porque achei interessante (sem aprofundar a relevância).,1.5
Escolha do conteúdo,Articulação com o público,"Explica por que o dado é relevante para o público leigo, com linguagem acessível.","Esse dado é importante porque afeta o cotidiano das pessoas, como o uso de plástico.",Não ficou claro por que o dado é relevante para quem vai ler a postagem.,1.0
Relação com o plano de trabalho,Conexão explícita,Relaciona claramente a mídia ao tema do plano de trabalho.,"O dado abordado está diretamente ligado ao meu plano de trabalho, que trata de reciclagem de resíduos.","O conteúdo é interessante, mas não tem ligação clara com o plano de trabalho.",2.0
Adaptação ao público não especialista,Linguagem acessível,"Evita jargões, utiliza explicações claras e linguagem simples.",Evitei o termo 'imunogenicidade' e usei 'capacidade de gerar proteção'.,"Usei termos técnicos sem explicar, como 'sinapse química'.",1.0
Adaptação ao público não especialista,Recursos visuais adequados,"Cores legíveis, imagens relevantes e estilo gráfico coerente.",Usei cores contrastantes e ícones que facilitam a leitura.,Usei imagens sem relação com o conteúdo ou fontes difíceis de ler.,1.0
Adaptação ao público não especialista,Coerência entre mídia e legenda,Legenda que reforça ou complementa a mensagem visual.,A legenda explica o gráfico e convida o leitor a refletir.,A legenda repete exatamente o que está escrito na imagem.,0.5
Reflexão sobre o processo,Metacognição,Identifica aprendizagens e desafios com clareza.,Aprendi a simplificar ideias complexas sem distorcer o conteúdo.,"Relato genérico, como 'foi legal fazer o trabalho'.",1.0
Reflexão sobre o processo,Consciência linguística,Mostra atenção às próprias escolhas linguísticas e seus efeitos.,Percebi que usar 'você' torna o texto mais próximo.,Não há menção às estratégias linguísticas usadas.,1.0
Referências,Correção e adequação,As fontes são confiáveis e citadas conforme ABNT.,"(AUTOR, ano) ou link com instituição científica reconhecida.",Cita blogs sem credibilidade ou não usa fonte nenhuma.,0.5
